Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.66722675551771,1.66290007957355,1.61244609996212,1.55575470326431,1.50594720365816,1.46395387384967,1.41256567140629,1.33747554386278,1.29984189219994,1.25802753178631,1.19601925947085,1.15569441781061,1.10379186272101,1.04651515030085,1.00938163923532,0.992481122862039,0.976434392610197,0.978803488234499,0.999137869915681,1.00886800592722,1.00455362363927,0.986604121119825,0.959562935237505,0.95374468290385,0.996818460180589,1.0215666887643,1.2094154366484,1.58394825779579,1.78538584857741,1.59911795256016,0.896491953505063,0.441498091207504,0.495789591494285,0.53962870957127,0.537425495656651,0.480257021978241
Population growth (annual %),SP.POP.GROW,Colombia,COL,2.06742882129527,2.00897406347511,1.98094862084333,1.99678655879278,1.97202887200902,1.9096370992151,1.82129460113512,1.78958066993845,1.79149449060697,1.73833578882204,1.63798274950516,1.57194688390217,1.53792282248162,1.5081090586904,1.46883725533231,1.4002642115634,1.32542990992624,1.26689099629201,1.20339154806457,1.16491370094378,1.13596836363633,1.07133727666266,1.00290782655336,0.948709328751527,0.892711563926366,0.864942376762699,0.990548549326914,1.45147726169193,1.83913784861099,1.78615507724394,1.43632167326968,1.09642825395961,1.06829295530618,1.12092864340999,1.07447920962035,1.01451696044498
Population growth (annual %),SP.POP.GROW,France,FRA,0.547228307056949,0.502041652701803,0.498024782624795,0.43494888453875,0.374521801846337,0.364159563395629,0.357448008376034,0.356761847855923,0.37054023067343,0.515860143523548,0.686335719566776,0.7289939490983,0.727033002641047,0.705638836747311,0.732625502527391,0.751885116821619,0.696338574828463,0.618225682593305,0.558020613148126,0.513351013325229,0.492976371032656,0.482667411007127,0.483714919435185,0.516915013016667,0.474847846171767,0.355569240058298,0.263868788565368,0.29020211635109,0.358494581816163,0.332559129027963,0.324557781035362,0.356902332389048,0.502320929337976,0.275093143443794,0.261995241898747,0.245766211891762
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.861969448764933,0.728605546561364,0.760346946721127,0.657391218087626,0.346856648630233,0.293904443716697,0.289474899455448,0.146313281561803,0.0151436508552808,0.0646345779052372,0.135431600393084,0.168225361337335,0.168128319406931,0.0553633035873241,-0.021709727650009,-0.0567782618352031,-0.112797497644931,-0.133718572600486,-0.190142844695674,-0.253383410163402,-0.153198446937304,-1.8537146287573,0.187727800567293,0.272900214681538,0.416877359168292,0.865702643950251,0.807218538573871,0.373724559895838,0.300526701992065,0.22551987421288,0.0816931586494595,0.0423270572552137,-0.0219565701848977,0.131511079477747,0.274957829184881,-0.0303506708320264
Population growth (annual %),SP.POP.GROW,India,IND,2.213130886438,2.16777668657973,2.12998519274824,2.09986069412181,2.04435418122792,2.01296632914892,1.99775909414655,1.966425183613,1.93596384442712,1.90202919152067,1.87939826197393,1.87060822112685,1.81129424097937,1.73438204419235,1.7035704679088,1.63142146860079,1.56412522526913,1.50599144392136,1.43877181746736,1.44601731955273,1.45460361883041,1.41682761544376,1.37405616603306,1.33270430507476,1.26129027125347,1.19285563384335,1.19162966402099,1.1623961434697,1.09729906702925,1.04001395098104,0.973438646910149,0.822648220128724,0.790200540609834,0.883289539766135,0.890706546985984,0.887183543977214
Population growth (annual %),SP.POP.GROW,Japan,JPN,0.33178288536374,0.392819832481862,0.371192387198527,0.32416759914373,0.279192363973672,0.234590173412918,0.226884732460898,0.238271217591483,0.271729610231193,0.182586374140107,0.167275578113187,0.240952587521069,0.232527187105684,0.213980948779682,0.0336622582725446,0.00939209655766336,0.0633735894181335,0.114908847726211,0.0484253945978966,-0.0124946312294096,0.0179605415195644,-0.185226486410846,-0.159710675844347,-0.144271883387076,-0.132694222147042,-0.106124993746747,-0.0511374152133631,-0.081874296046114,-0.126880068088791,-0.140464977878172,-0.294194617750067,-0.459952415807642,-0.443851919148528,-0.487370782049143,-0.435651699326323,-0.492142838725375
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.985130494218767,0.989785981821526,1.03916135557339,1.01582143742509,1.00615724501748,1.00620085457685,0.952779421852704,0.937713808920155,0.72186501759031,0.710794593061376,0.836180864297766,0.767241774760276,0.577957276814842,0.518321452985646,0.396331436697806,0.211997784117548,0.525199940498775,0.505234032920336,0.759316681850927,0.514682827535803,0.49822508440111,0.768971758582589,0.525713660600414,0.455218622164662,0.628149861433639,0.527288497407793,0.396851823381145,0.280968018301691,0.433519027613049,0.347874968577526,0.137869266247028,-0.128757315474928,-0.187486566698935,0.077477253324535,0.0743178674548815,-0.128584337535563
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.91754932281513,1.92579327419213,1.89386319441602,1.8526849091274,1.81495080594105,1.78023269604442,1.73503044582092,1.68231791926668,1.63934798033611,1.5989280275378,1.54272528221216,1.48303091731143,1.43770526775457,1.398263627903,1.3653083154997,1.34857895792648,1.35374920696209,1.40789058424163,1.46015632826518,1.4619172053372,1.43974472572946,1.41534883852036,1.35716327923769,1.29730808025224,1.21002702971431,1.06956376155677,0.969124204799117,0.935239396499786,0.9466023549862,0.950144329831411,0.820454117563552,0.66740537533078,0.753116988604166,0.872178517508623,0.860515443690537,0.826382426690595
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.162456320242469,0.259518212115074,0.330671401713551,0.333166395661953,0.337707376243322,0.520962181078711,0.565926341934592,0.415564969331455,0.363162523600756,0.330886246186545,0.334233618829261,0.358315678955486,0.319487125340996,0.272010444031566,0.258432282052875,0.275481733409308,0.328645158919929,0.443466054321374,0.587547590258978,0.535079062079429,0.444197154509531,0.411737855195019,0.376272242619955,0.416901360752097,0.507053283010163,0.706423849687002,0.780392644135167,0.643350903737356,0.495838925879129,0.358130915892652,0.291641177476633,0.433414489409722,0.787502464739957,0.741185515720057,0.503861198167737,0.536903805914283
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,0.168017665366762,0.286681805330924,0.0969789790408762,-0.0534820276606834,-0.0342679070319955,-0.0216487632128753,-0.145451546598357,-0.165341653753189,-0.165486143348056,-0.309278191504336,-0.420614990249978,-0.424090524785415,-0.460024258081391,-0.453780668020263,-0.402681471328549,-0.381452794741516,-0.327445270108383,-0.17108203294568,-0.0439492591634852,0.030107060167659,0.0448964884428055,0.118045544446964,0.251575708072649,0.297503474179596,0.299667432459938,0.279352077762368,0.258751057379474,0.191382528772924,0.0721356165400605,0.037947213753429,-0.143202031827637,-0.343724409889771,-0.352843110363082,-0.285217600763343,-0.108858652841079,-0.108864402490546
